Panorama monetario del Banco Central
Millones de colones


Fecha;Base monetaria;Emisión monetaria
2020-01-31;2,598,935.55402400;1,162,820.68994300
2020-02-29;2,575,444.83064772;1,123,301.32613300
2020-03-31;2,599,270.02373507;1,159,015.52097300
2020-04-30;2,669,307.52111006;1,219,473.51833300
2020-05-31;2,735,823.60413847;1,233,185.46933300
2020-06-30;2,720,833.74478356;1,240,570.45933300
2020-07-31;2,825,723.37661178;1,284,722.34933300
2020-08-31;2,806,779.37914075;1,267,999.34733300
2020-09-30;2,829,711.80610621;1,264,588.84733300
2020-10-31;2,888,998.37141708;1,283,616.63595300
2020-11-30;3,152,661.34995014;1,401,943.83595300
2020-12-31;3,033,123.83824004;1,498,209.28389800
2021-01-31;2,974,785.35465658;1,385,617.26389800
2021-02-28;2,960,279.76421744;1,354,113.38789800
2021-03-31;2,928,202.72792157;1,410,758.26289800
2021-04-30;2,993,978.85215490;1,343,631.73139800
2021-05-31;2,829,984.26941806;1,296,410.72639800
2021-06-30;2,846,514.06632384;1,290,450.71539800
2021-07-31;2,924,685.84234677;1,373,893.71339800
2021-08-31;2,908,946.32427340;1,347,071.47838800
2021-09-30;2,906,779.59332107;1,378,290.37788800
2021-10-31;2,932,437.38347952;1,401,229.89088800
2021-11-30;3,140,962.80862290;1,554,424.21138800
2021-12-31;3,154,635.34114951;1,529,014.83638800
2022-01-31;3,048,027.33493745;1,394,510.03638800
2022-02-28;3,029,205.83029540;1,323,540.46188800
2022-03-31;2,942,110.74512380;1,330,188.16185300
2022-04-30;3,027,696.34969194;1,342,012.66280300
2022-05-31;2,884,165.37384446;1,324,878.66280300
2022-06-30;2,869,772.70000000;1,325,522.41382300
2022-07-31;2,997,088.62400000;1,340,545.25182300
2022-08-31;3,236,691.12965183;1,335,013.75032300
2022-09-30;3,353,115.56468430;1,392,346.25032300
2022-10-31;3,311,842.75605571;1,331,349.76932300
2022-11-30;3,525,230.02500000;1,482,179.26932300
2022-12-31;3,605,351.60000000;1,495,116.76932300
2023-01-31;3,387,971.69823520;1,380,784.76882300
2023-02-28;3,381,146.29930000;1,331,882.74832300
2023-03-31;3,437,809.57500000;1,382,038.74932300
2023-04-30;3,537,347.91550000;1,367,318.96032300
2023-05-31;3,398,616.47460000;1,297,501.60582300
2023-06-30;3,444,678.57640000;1,316,951.84932300
2023-07-31;3,418,807.95760000;1,301,700.59432300
2023-08-31;3,451,552.51070000;1,309,706.85132300
2023-09-30;3,674,844.74600000;1,341,621.75132300
2023-10-31;3,505,739.68050000;1,328,935.45732300
2023-11-30;3,801,434.81480000;1,502,660.09432300
2023-12-31;3,733,436.32910000;1,539,302.59332300
2024-01-31;3,619,012.76764073;1,392,552.84032300
2024-02-29;3,565,238.99360977;1,351,898.68732300
2024-03-31;3,605,711.87253048;1,375,232.68632300
2024-04-30;3,658,990.69197445;1,314,652.18632300
2024-05-31;3,650,630.37435922;1,312,796.95632300
2024-06-30;3,789,096.20245595;1,321,532.94532300
2024-07-31;3,676,633.60834109;1,340,276.90982300
2024-08-31;3,870,594.95527846;1,379,996.90982300
2024-09-30;3,784,592.62647067;1,386,373.34982300
2024-10-31;3,827,099.77199882;1,420,233.86882300
2024-11-30;3,980,343.85896108;1,526,650.70932300
2024-12-31;4,058,017.39825473;1,609,542.95932300
2025-01-31;3,902,411.49847211;1,463,371.12132300
2025-02-28;3,873,872.90781478;1,418,118.93632300
2025-03-31;3,836,700.15855866;1,386,910.98392300
2025-04-30;3,920,512.95833189;1,425,876.63692300
2025-05-31;3,847,156.20130840;1,383,507.12027300
2025-06-30;3,852,005.22275769;1,382,265.38777300
2025-07-31;3,924,245.19325517;1,437,574.15437300
2025-08-31;3,994,497.66935946;1,457,363.23522300
2025-09-30;3,975,969.98325347;1,448,652.27672300
2025-10-31;4,084,719.22708094;1,480,524.12062300
2025-11-30;4,231,414.25286868;1,595,905.10732300
2025-12-31;4,250,866.75526753;1,625,018.68132300
2026-01-31;4,189,083.24391436;1,491,267.81629800
2026-02-28;4,092,857.74830404;1,471,950.01414800
2026-03-31;4,098,167.58281098;1,503,491.64414800
2026-04-30;4,206,620.97844748;1,476,638.32094800
2026-05-31;4,199,827.68904097;1,447,236.74344800
