Fecha,IPC
1/31/2020,1.58276434
2/29/2020,1.79007626
3/31/2020,1.90692858
4/30/2020,0.89116262
5/31/2020,0.60875081
6/30/2020,0.31161484
7/31/2020,-0.16512011
8/31/2020,-0.07077452
9/30/2020,0.29896292
10/31/2020,0.45245635
11/30/2020,0.24451286
12/31/2020,0.89244852
1/31/2021,0.95912353
2/28/2021,0.41428569
3/31/2021,0.47273207
4/30/2021,1.20983555
5/31/2021,1.34180593
6/30/2021,1.90803363
7/31/2021,1.43977973
8/31/2021,1.724657
9/30/2021,2.08635762
10/31/2021,2.50391997
11/30/2021,3.34564334
12/31/2021,3.29890791
1/31/2022,3.49808425
2/28/2022,4.89731456
3/31/2022,5.79317506
4/30/2022,7.15156174
5/31/2022,8.71414729
6/30/2022,10.05560568
7/31/2022,11.48008281
8/31/2022,12.12848154
9/30/2022,10.36515253
10/31/2022,8.99139861
11/30/2022,8.25503749
12/31/2022,7.87715376
1/31/2023,7.65184683
2/28/2023,5.57981084
3/31/2023,4.4173968
4/30/2023,2.442818
5/31/2023,0.87917926
6/30/2023,-1.03848075
7/31/2023,-2.28510059
8/31/2023,-3.27810286
9/30/2023,-2.23511087
10/31/2023,-1.27894151
11/30/2023,-1.64492206
12/31/2023,-1.76529222
1/31/2024,-1.86863398
2/29/2024,-1.13140602
3/31/2024,-1.18631484
4/30/2024,-0.52081297
5/31/2024,-0.33476582
6/30/2024,-0.03375699
7/31/2024,0.03187455
8/31/2024,0.31250425
9/30/2024,-0.13585182
10/31/2024,-0.7863946
11/30/2024,-0.09182255
12/31/2024,0.8417193
1/31/2025,1.15049303
2/28/2025,1.24654141
3/31/2025,1.21258428
4/30/2025,0.37188968
5/31/2025,-0.11552014
6/30/2025,-0.21516412
7/31/2025,-0.60816885
8/31/2025,-0.93582989
9/30/2025,-1.00323264
10/31/2025,-0.37764121
11/30/2025,-0.37595225
12/31/2025,-1.2267773
1/31/2026,-2.53074157
2/28/2026,-2.73022087
3/31/2026,-2.09312134
4/30/2026,-1.63898115
5/31/2026,-0.97371319
